"","Site","Date","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12"
"83","Tanganya",2003-01-01,0.255653101950884,0.76470471197559,6.51024734228849,9.89676961591167,10.7923104912043,9.72618314623833,5.44047947852842,4.11895215511322,1.0419882189843,0.44310687482357,0.179091087703047,0.102263402193785
"84","Tanganya",2003-01-15,0.0383781082928181,0.673068665689038,4.87077162414789,6.88219749542975,10.1374150812626,12.1146512925625,6.905815293712,5.37809647619724,2.67239335275465,0.323786586523056,0.310754854103615,0
"85","Tanganya",2003-02-01,0.114117806777358,0.255653101950884,0.76470471197559,6.51024734228849,9.89676961591167,10.7923104912043,9.72618314623833,5.44047947852842,4.11895215511322,1.0419882189843,0.44310687482357,0.179091087703047
"86","Tanganya",2003-02-15,0.07573969848454,0.0383781082928181,0.673068665689038,4.87077162414789,6.88219749542975,10.1374150812626,12.1146512925625,6.905815293712,5.37809647619724,2.67239335275465,0.323786586523056,0.310754854103615
"87","Tanganya",2003-03-01,0.247115529816726,0.114117806777358,0.255653101950884,0.76470471197559,6.51024734228849,9.89676961591167,10.7923104912043,9.72618314623833,5.44047947852842,4.11895215511322,1.0419882189843,0.44310687482357
"88","Tanganya",2003-03-15,0.337196933812109,0.07573969848454,0.0383781082928181,0.673068665689038,4.87077162414789,6.88219749542975,10.1374150812626,12.1146512925625,6.905815293712,5.37809647619724,2.67239335275465,0.323786586523056
"89","Tanganya",2003-04-01,0.267475821077824,0.247115529816726,0.114117806777358,0.255653101950884,0.76470471197559,6.51024734228849,9.89676961591167,10.7923104912043,9.72618314623833,5.44047947852842,4.11895215511322,1.0419882189843
"90","Tanganya",2003-04-15,0.364548191428185,0.337196933812109,0.07573969848454,0.0383781082928181,0.673068665689038,4.87077162414789,6.88219749542975,10.1374150812626,12.1146512925625,6.905815293712,5.37809647619724,2.67239335275465
"91","Tanganya",2003-05-01,2.12182955588064,0.267475821077824,0.247115529816726,0.114117806777358,0.255653101950884,0.76470471197559,6.51024734228849,9.89676961591167,10.7923104912043,9.72618314623833,5.44047947852842,4.11895215511322
"92","Tanganya",2003-05-15,4.19413232803345,0.364548191428185,0.337196933812109,0.07573969848454,0.0383781082928181,0.673068665689038,4.87077162414789,6.88219749542975,10.1374150812626,12.1146512925625,6.905815293712,5.37809647619724
"93","Tanganya",2003-06-01,5.37305143475533,2.12182955588064,0.267475821077824,0.247115529816726,0.114117806777358,0.255653101950884,0.76470471197559,6.51024734228849,9.89676961591167,10.7923104912043,9.72618314623833,5.44047947852842
"94","Tanganya",2003-06-15,5.85732240229845,4.19413232803345,0.364548191428185,0.337196933812109,0.07573969848454,0.0383781082928181,0.673068665689038,4.87077162414789,6.88219749542975,10.1374150812626,12.1146512925625,6.905815293712
"95","Tanganya",2003-07-01,6.98999334919837,5.37305143475533,2.12182955588064,0.267475821077824,0.247115529816726,0.114117806777358,0.255653101950884,0.76470471197559,6.51024734228849,9.89676961591167,10.7923104912043,9.72618314623833
"96","Tanganya",2003-07-15,9.41681189690867,5.85732240229845,4.19413232803345,0.364548191428185,0.337196933812109,0.07573969848454,0.0383781082928181,0.673068665689038,4.87077162414789,6.88219749542975,10.1374150812626,12.1146512925625
"97","Tanganya",2003-08-01,8.99706473946571,6.98999334919837,5.37305143475533,2.12182955588064,0.267475821077824,0.247115529816726,0.114117806777358,0.255653101950884,0.76470471197559,6.51024734228849,9.89676961591167,10.7923104912043
"98","Tanganya",2003-08-15,6.81099927425385,9.41681189690867,5.85732240229845,4.19413232803345,0.364548191428185,0.337196933812109,0.07573969848454,0.0383781082928181,0.673068665689038,4.87077162414789,6.88219749542975,10.1374150812626
