"","Variable","training","validation","vi","Type","Range"
"194","Frac_burn.25","SLTA","GTB",0,"Land cover",25
"195","Frac_burn.25","SLTA","GTA",0,"Land cover",25
"196","Frac_burn.25","Mean",NA,0.00190982166666666,"Land cover",25
"197","Frac_burn.50","GTB","GTA",0,"Land cover",50
"198","Frac_burn.50","GTB","SLTA",0,"Land cover",50
"199","Frac_burn.50","GTA","GTB",0.0012898393,"Land cover",50
"200","Frac_burn.50","GTA","SLTA",0.013110413,"Land cover",50
"201","Frac_burn.50","SLTA","GTB",0.010327035,"Land cover",50
"202","Frac_burn.50","SLTA","GTA",0.010783281,"Land cover",50
"203","Frac_burn.50","Mean",NA,0.00591842805,"Land cover",50
"204","Frac_burn.500","GTB","GTA",0,"Land cover",500
"205","Frac_burn.500","GTB","SLTA",0.00031358434,"Land cover",500
"206","Frac_burn.500","GTA","GTB",0.003083651,"Land cover",500
"207","Frac_burn.500","GTA","SLTA",0.0062753074,"Land cover",500
"208","Frac_burn.500","SLTA","GTB",0.034268226,"Land cover",500
"209","Frac_burn.500","SLTA","GTA",0.0349354,"Land cover",500
"210","Frac_burn.500","Mean",NA,0.0131460281233333,"Land cover",500
"211","Frac_grass.100","GTB","GTA",0.010246787,"Land cover",100
"212","Frac_grass.100","GTB","SLTA",0.008842354,"Land cover",100
"213","Frac_grass.100","GTA","GTB",0,"Land cover",100
"214","Frac_grass.100","GTA","SLTA",0.0053087967,"Land cover",100
"215","Frac_grass.100","SLTA","GTB",0.006821717,"Land cover",100
"216","Frac_grass.100","SLTA","GTA",0.00646977,"Land cover",100
"217","Frac_grass.100","Mean",NA,0.00628157078333333,"Land cover",100
"218","Frac_grass.1000","GTB","GTA",0,"Land cover",1000
"219","Frac_grass.1000","GTB","SLTA",0.007513467,"Land cover",1000
"220","Frac_grass.1000","GTA","GTB",0,"Land cover",1000
"221","Frac_grass.1000","GTA","SLTA",0.0035706242,"Land cover",1000
"222","Frac_grass.1000","SLTA","GTB",0.010989511,"Land cover",1000
"223","Frac_grass.1000","SLTA","GTA",0.009823794,"Land cover",1000
"224","Frac_grass.1000","Mean",NA,0.00531623269999999,"Land cover",1000
"225","Frac_grass.200","GTB","GTA",0,"Land cover",200
"226","Frac_grass.200","GTB","SLTA",0.0051112836,"Land cover",200
"227","Frac_grass.200","GTA","GTB",0,"Land cover",200
"228","Frac_grass.200","GTA","SLTA",0.0065856962,"Land cover",200
"229","Frac_grass.200","SLTA","GTB",0.0068926155,"Land cover",200
"230","Frac_grass.200","SLTA","GTA",0.01667152,"Land cover",200
"231","Frac_grass.200","Mean",NA,0.00587685255,"Land cover",200
"232","Frac_grass.25","GTB","GTA",0,"Land cover",25
"233","Frac_grass.25","GTB","SLTA",0.0023742954,"Land cover",25
"234","Frac_grass.25","GTA","GTB",0,"Land cover",25
"235","Frac_grass.25","GTA","SLTA",0.001966997,"Land cover",25
"236","Frac_grass.25","SLTA","GTB",0.0075917765,"Land cover",25
"237","Frac_grass.25","SLTA","GTA",0.0074842637,"Land cover",25
"238","Frac_grass.25","Mean",NA,0.0032362221,"Land cover",25
"239","Frac_grass.50","GTB","GTA",0.009184921,"Land cover",50
"240","Frac_grass.50","GTB","SLTA",0.007662991,"Land cover",50
"241","Frac_grass.50","GTA","GTB",0,"Land cover",50
"242","Frac_grass.50","GTA","SLTA",0.002216876,"Land cover",50
"243","Frac_grass.50","SLTA","GTB",0.008188961,"Land cover",50
"244","Frac_grass.50","SLTA","GTA",0.0107089095,"Land cover",50
"245","Frac_grass.50","Mean",NA,0.00632710975,"Land cover",50
"246","Frac_grass.500","GTB","GTA",0.009965044,"Land cover",500
"247","Frac_grass.500","GTB","SLTA",0.006642245,"Land cover",500
"248","Frac_grass.500","GTA","GTB",0,"Land cover",500
"249","Frac_grass.500","GTA","SLTA",0.0051511456,"Land cover",500
"250","Frac_grass.500","SLTA","GTB",0.014121562,"Land cover",500
"251","Frac_grass.500","SLTA","GTA",0.015014627,"Land cover",500
"252","Frac_grass.500","Mean",NA,0.00848243726666666,"Land cover",500
"253","Frac_mound.100","GTB","GTA",0,"Land cover",100
"254","Frac_mound.100","GTB","SLTA",0.014149071,"Land cover",100
"255","Frac_mound.100","GTA","GTB",0.0014811188,"Land cover",100
"256","Frac_mound.100","GTA","SLTA",2.8950435e-05,"Land cover",100
"257","Frac_mound.100","SLTA","GTB",0.01001401,"Land cover",100
"258","Frac_mound.100","SLTA","GTA",0.010535045,"Land cover",100
"259","Frac_mound.100","Mean",NA,0.00603469920583333,"Land cover",100
"260","Frac_mound.1000","GTB","GTA",0,"Land cover",1000
"261","Frac_mound.1000","GTB","SLTA",0.0047326963,"Land cover",1000
"262","Frac_mound.1000","GTA","GTB",0.0024633096,"Land cover",1000
"263","Frac_mound.1000","GTA","SLTA",0.013456814,"Land cover",1000
"264","Frac_mound.1000","SLTA","GTB",0.010085017,"Land cover",1000
"265","Frac_mound.1000","SLTA","GTA",0.011423022,"Land cover",1000
"266","Frac_mound.1000","Mean",NA,0.00702680981666666,"Land cover",1000
"267","Frac_mound.200","GTB","GTA",0.017920598,"Land cover",200
"268","Frac_mound.200","GTB","SLTA",0.015252473,"Land cover",200
"269","Frac_mound.200","GTA","GTB",0.003132756,"Land cover",200
"270","Frac_mound.200","GTA","SLTA",0.056050368,"Land cover",200
"271","Frac_mound.200","SLTA","GTB",0.010336788,"Land cover",200
"272","Frac_mound.200","SLTA","GTA",0.01012043,"Land cover",200
"273","Frac_mound.200","Mean",NA,0.0188022355,"Land cover",200
"274","Frac_mound.25","GTB","GTA",0.0095634805,"Land cover",25
"275","Frac_mound.25","GTB","SLTA",0.017913155,"Land cover",25
"276","Frac_mound.25","GTA","GTB",0.0005985174,"Land cover",25
"277","Frac_mound.25","GTA","SLTA",0.0094677685,"Land cover",25
"278","Frac_mound.25","SLTA","GTB",0.009319661,"Land cover",25
"279","Frac_mound.25","SLTA","GTA",0.009235255,"Land cover",25
"280","Frac_mound.25","Mean",NA,0.00934963956666666,"Land cover",25
"281","Frac_mound.50","GTB","GTA",0,"Land cover",50
"282","Frac_mound.50","GTB","SLTA",0.015434508,"Land cover",50
"283","Frac_mound.50","GTA","GTB",0.0011573066,"Land cover",50
"284","Frac_mound.50","GTA","SLTA",0.005488671,"Land cover",50
"285","Frac_mound.50","SLTA","GTB",0.009746003,"Land cover",50
"286","Frac_mound.50","SLTA","GTA",0.0095061585,"Land cover",50
"287","Frac_mound.50","Mean",NA,0.00688877451666666,"Land cover",50
"288","Frac_mound.500","GTB","GTA",0.0024385224,"Land cover",500
"289","Frac_mound.500","GTB","SLTA",0.0062126243,"Land cover",500
"290","Frac_mound.500","GTA","GTB",0.004305301,"Land cover",500
"291","Frac_mound.500","GTA","SLTA",0,"Land cover",500
"292","Frac_mound.500","SLTA","GTB",0.0098197395,"Land cover",500
"293","Frac_mound.500","SLTA","GTA",0.008624178,"Land cover",500
"294","Frac_mound.500","Mean",NA,0.0052333942,"Land cover",500
"295","Frac_rice.100","GTB","GTA",0.007860713,"Land cover",100
"296","Frac_rice.100","GTB","SLTA",0.014683785,"Land cover",100
"297","Frac_rice.100","GTA","GTB",0.002119611,"Land cover",100
"298","Frac_rice.100","GTA","SLTA",0.009216097,"Land cover",100
"299","Frac_rice.100","SLTA","GTB",0.008175415,"Land cover",100
"300","Frac_rice.100","SLTA","GTA",0.007688208,"Land cover",100
"301","Frac_rice.100","Mean",NA,0.00829063816666666,"Land cover",100
"302","Frac_rice.1000","GTB","GTA",0,"Land cover",1000
"303","Frac_rice.1000","GTB","SLTA",0.013839067,"Land cover",1000
"304","Frac_rice.1000","GTA","GTB",0.0011124535,"Land cover",1000
"305","Frac_rice.1000","GTA","SLTA",0.005194016,"Land cover",1000
